,Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб),Форма двигателя
114,Aprilia,Aprilia Tuono V4,2022,Воронеж,1,1077,175.0,4.0,МКПП-6,цепь,чёрный,2600000,v-образное
115,Aprilia,Aprilia RSV4,2022,Санкт-Петербург,3,1100,217.0,4.0,МКПП-6,цепь,чёрный,2700000,v-образное
116,Aprilia,Aprilia RSV4,2022,Москва,1,1099,217.0,4.0,МКПП-6,цепь,синий,2800000,v-образное
117,Aprilia,Aprilia SL 900 Shiver,2018,Москва,26000,896,95.0,2.0,МКПП-6,цепь,серебристый,945000,v-образное
118,Aprilia,Aprilia SL 900 Shiver,2019,Зеленоград,6000,900,95.0,2.0,МКПП-6,цепь,чёрный,920000,v-образное
119,Aprilia,Aprilia ETV 1000 Caponord,2003,Тюмень,63535,1000,100.0,2.0,МКПП-6,цепь,красный,550000,v-образное
120,Aprilia,Aprilia RST 1000 Futura,2001,Пушкино,30000,1000,114.0,2.0,МКПП-6,цепь,серебристый,385000,рядное
121,Aprilia,Aprilia SL 900 Shiver,2020,Тюмень,2136,896,95.0,2.0,МКПП-6,цепь,красный,1150000,v-образное
122,Aprilia,Aprilia RXV 550,2007,Пермь,1700,550,80.0,2.0,МКПП-5,цепь,чёрный,765000,v-образное
123,Aprilia,Aprilia Pegaso 650,2009,Саратов,70000,650,52.0,1.0,МКПП-5,цепь,красный,485000,рядное
124,Aprilia,Aprilia ETV 1200 Caponord,2015,Москва,55117,1200,125.0,2.0,МКПП-6,цепь,белый,908440,v-образное
125,Aprilia,Aprilia Tuono 1000,2012,Санкт-Петербург,21000,999,167.0,4.0,МКПП-6,цепь,чёрный,775000,v-образное
126,Aprilia,Aprilia SL 750 Shiver,2008,Владивосток,22333,750,223.0,2.0,МКПП-6,цепь,серебристый,405000,v-образное
127,Aprilia,Aprilia Tuono V4,2019,Москва,23800,1077,175.0,4.0,МКПП-6,цепь,красный,1800000,v-образное
128,Aprilia,Aprilia ETV 1200 Caponord,2015,Обнинск,15000,1200,125.0,2.0,МКПП-6,цепь,белый,1150000,v-образное
129,Aprilia,Aprilia SXV 550,2007,Кисловодск,9200,549,85.0,2.0,МКПП-5,цепь,чёрный,850000,v-образное
130,Aprilia,Aprilia RSV4,2021,Москва,5000,1100,217.0,4.0,МКПП-6,цепь,чёрный,2650000,v-образное
131,Aprilia,Aprilia RSV4,2012,Москва,18650,999,217.0,4.0,МКПП-6,цепь,чёрный,946000,v-образное
132,Aprilia,Aprilia Tuono V4,2022,Москва,2600,1100,175.0,4.0,МКПП-6,цепь,чёрный,2600000,v-образное
133,Aprilia,Aprilia Mana 850,2011,Хабаровск,7800,839,76.0,2.0,АКПП,цепь,белый,630000,v-образное
134,Aprilia,Aprilia Mana 850,2008,Сочи,17100,850,76.0,2.0,АКПП,цепь,чёрный,490000,v-образное
135,Aprilia,Aprilia RSV1000 R,2001,Тюмень,12000,1000,139.0,2.0,МКПП-6,цепь,жёлтый,2000000,v-образное
136,Aprilia,Aprilia ETV 1000 Caponord,2006,Санкт-Петербург,47000,1000,98.0,2.0,МКПП-6,цепь,чёрный,600000,v-образное
137,Aprilia,Aprilia RSV1000 R,2005,Москва,6400,1000,139.0,2.0,МКПП-6,цепь,красный,1250000,v-образное
138,Aprilia,Aprilia RSV4,2019,Москва,7318,1100,217.0,4.0,МКПП-6,цепь,чёрный,2250000,v-образное
139,Aprilia,Aprilia RSV4,2022,Москва,3150,1099,217.0,4.0,МКПП-6,цепь,серый,2200000,v-образное
140,Aprilia,Aprilia RSV1000 R,2006,Тверь,64000,1000,143.0,2.0,МКПП-6,цепь,красный,520000,v-образное
141,Aprilia,Aprilia RSV1000 R,2007,Краснодар,27000,1000,150.0,2.0,МКПП-6,цепь,красный,850000,v-образное
142,Aprilia,Aprilia RS 660,2021,Химки,2000,660,100.0,2.0,МКПП-6,цепь,пурпурный,1300000,v-образное
143,Aprilia,Aprilia RS 50,1998,Москва,5000,50,10.0,1.0,МКПП-5,цепь,оранжевый,150000,рядное
144,Aprilia,Aprilia SL 900 Shiver,2020,Кемерово,10000,900,95.0,2.0,МКПП-6,цепь,красный,1100000,v-образное
145,Aprilia,Aprilia Classic 125,2021,Омск,3000,125,11.0,1.0,МКПП-4,цепь,синий,65000,рядное
146,Aprilia,Aprilia SL 1000 Falco,2000,Екатеринбург,70000,1000,135.0,2.0,МКПП-6,цепь,красный,300000,v-образное
147,Aprilia,Aprilia Pegaso 650 Strada,2005,Москва,4500,650,48.0,1.0,МКПП-5,цепь,оранжевый,650000,рядное
148,Aprilia,Aprilia Dorsoduro 900,2019,Химки,9862,900,95.0,2.0,МКПП-6,цепь,чёрный,1120000,v-образное
149,Aprilia,Aprilia RSV4,2019,Москва,32000,1000,201.0,4.0,МКПП-6,цепь,серый,1350000,v-образное
150,Aprilia,Aprilia RSV4,2022,Москва,1879,1100,218.0,4.0,МКПП-6,цепь,чёрный,2750000,v-образное
151,Aprilia,Aprilia SXV 550,2008,Кропоткин,6800,550,85.0,2.0,МКПП-5,цепь,красный,650000,v-образное
152,Aprilia,Aprilia RSV Mille,2001,Люберцы,24000,997,143.0,2.0,МКПП-6,цепь,чёрный,420000,v-образное
153,Ataki,Ataki Tracker 250,2024,Павловск,500,250,17.0,1.0,МКПП-5,цепь,чёрный,155990,v-образное
154,Ataki,Ataki Prime 125,2021,Тарасово,11500,125,10.0,1.0,МКПП-4,цепь,синий,50000,ротор
155,Ataki,Ataki Start YX125EM,2021,Екатеринбург,1000,125,10.0,1.0,МКПП-5,цепь,белый,70000,оппозитное
156,Ataki,Ataki Prime 125,2023,Обнинск,85,125,8.0,1.0,МКПП-4,цепь,белый,63000,v-образное
157,Ataki,Ataki EF 250,2023,Химки,5500,250,23.0,1.0,МКПП-5,цепь,белый,165000,рядное
158,Ataki,Ataki Tracker 250,2024,Людиново,20,250,18.0,1.0,МКПП-5,цепь,красный,142000,v-образное
159,Ataki,Ataki Start YX125EM,2020,Чишмы,1000,125,11.0,1.0,МКПП-4,цепь,синий,67000,рядное
160,Ataki,Ataki Start YX125EM,2021,Волгоград,1111,125,11.0,1.0,МКПП-4,цепь,синий,60000,рядное
161,Ataki,Ataki Start YX140,2019,Липецк,999999,150,14.0,1.0,МКПП-4,цепь,оранжевый,69000,оппозитное
162,Ataki,Ataki Prime 125,2024,Красногорск,1,125,10.0,1.0,МКПП-4,цепь,белый,77000,v-образное
163,Ataki,Ataki Prime 125,2020,Караидель,1000,125,11.0,1.0,МКПП-4,цепь,синий,75000,v-образное
164,Ataki,Ataki Start YX140,2020,Адлер,500,140,15.0,1.0,МКПП-4,цепь,белый,50000,оппозитное
165,Avantis,Avantis Enduro 250,2021,Санкт-Петербург,2,250,21.0,1.0,МКПП-5,цепь,красный,350000,рядное
