Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб)
Ducati,Ducati 1199 Panigale,2012,Москва,5745,1198,195,2 цилиндра/v-образное,6 передач,цепь,красный,1800000
Ducati,Ducati Streetfighter,2010,Уфа,28000,1099,155,2 цилиндра/v-образное,6 передач,цепь,красный,896000
Ducati,Ducati Multistrada 1200,2011,Нижний Тагил,52847,1200,150,2 цилиндра/v-образное,6 передач,цепь,белый,620000
Ducati,Ducati Monster 1100,2012,Москва,12735,1100,100,2 цилиндра/v-образное,6 передач,цепь,чёрный,1200000
Ducati,Ducati Diavel,2015,Москва,19000,1198,162,2 цилиндра/v-образное,6 передач,цепь,чёрный,1400000
Ducati,Ducati Monster 821,2020,Нижний Новгород,3200,821,109,2 цилиндра/v-образное,,цепь,чёрный,1549000
Ducati,Ducati Monster 797,2019,Курск,3500,803,73,2 цилиндра/v-образное,6 передач,цепь,красный,950000
Ducati,Ducati Monster 696,2013,Москва,19788,700,80,2 цилиндра/v-образное,6 передач,цепь,белый,590000
Ducati,Ducati Streetfighter,2014,Екатеринбург,17000,848,125,,,цепь,красный,920000
Ducati,Ducati Multistrada V2,2022,Балашиха,15,937,113,2 цилиндра/v-образное,6 передач,цепь,чёрный,2550000
Ducati,Ducati Scrambler,2015,Москва,2844,800,,,,,жёлтый,820000
Ducati,Ducati Scrambler,2018,Москва,20000,800,73,2 цилиндра/v-образное,6 передач,цепь,чёрный,1050000
Ducati,Ducati Scrambler,2019,Москва,12652,803,73,2 цилиндра/v-образное,6 передач,цепь,белый,1050000
Ducati,Ducati Scrambler,2016,Москва,20813,800,,,,,красный,670000
Ducati,Ducati Diavel,2020,Москва,4900,1260,162,2 цилиндра,6 передач,цепь,красный,5500000
Ducati,Ducati Multistrada 950,2020,Москва,18000,937,113,2 цилиндра/v-образное,6 передач,цепь,красный,1450000
Ducati,Ducati Monster 400,1995,Красноярск,12771,400,,,5 передач,цепь,красный,300000
Ducati,Ducati Monster 796,2018,Владивосток,17292,803,73,,,,чёрный,800000
Ducati,Ducati Diavel,2020,Москва,720,1262,162,2 цилиндра/v-образное,6 передач,цепь,серебристый,5500000
Ducati,Ducati Scrambler,2015,Красногорск,4750,803,75,2 цилиндра/v-образное,6 передач,цепь,жёлтый,650000
Ducati,Ducati Multistrada 1000,2004,Великий Новгород,25000,1000,86,2 цилиндра/v-образное,6 передач,цепь,красный,370000
Ducati,Ducati Multistrada 1200,2012,Москва,44700,1200,150,2 цилиндра/v-образное,6 передач,цепь,красный,620000
Ducati,Ducati SuperSport,2002,Качканар,24560,59,80,2 цилиндра/v-образное,5 передач,цепь,серый,400000
Ducati,Ducati Monster (2021-н.в.),2022,Пермь,3500,973,111,2 цилиндра/v-образное,6 передач,цепь,серебристый,1650000
Ducati,Ducati 848,2012,Владивосток,17000,848,117,,,,красный,800000
Ducati,Ducati Streetfighter,2012,Красноярск,45000,848,132,2 цилиндра/v-образное,6 передач,цепь,красный,699000
Ducati,Ducati SuperSport,2018,Владивосток,24250,937,111,2 цилиндра/v-образное,6 передач,цепь,белый,970000
Ducati,Ducati HyperMotard,2013,Москва,25000,821,115,2 цилиндра/v-образное,6 передач,цепь,красный,850000
Ducati,Ducati HyperMotard,2021,Москва,3000,950,116,2 цилиндра/рядное,6 передач,цепь,красный,1770000
Ducati,Ducati Scrambler,2021,Москва,9500,803,73,2 цилиндра/v-образное,6 передач,цепь,чёрный,1300000
Ducati,Ducati HyperMotard,2010,Москва,99999,796,81,2 цилиндра/v-образное,6 передач,цепь,красный,580000
Ducati,Ducati Multistrada 1200,2016,Санкт-Петербург,30000,1200,152,2 цилиндра/v-образное,6 передач,цепь,красный,1380000
Ducati,Ducati Monster 821,2015,Москва,29903,821,112,,6 передач,цепь,красный,719100
Ducati,Ducati Multistrada 1200,2012,Находка,30301,1200,,,,,красный,680000
Ducati,Ducati Panigale V4,2019,Красногорск,5928,1100,214,,6 передач,цепь,красный,2860000
Ducati,Ducati Monster 797,2018,Москва,20140,803,73,2 цилиндра/v-образное,6 передач,цепь,красный,750000
Ducati,Ducati Scrambler,2017,Москва,23500,803,73,2 цилиндра/v-образное,6 передач,цепь,чёрный,1000000
Ducati,Ducati XDiavel,2018,Москва,7777,1262,162,,,ремень,чёрный,2070000
Ducati,Ducati Multistrada 1200,2011,Красногорск,48599,1200,150,,6 передач,цепь,красный,640000
Ducati,Ducati Multistrada 1200,2015,Москва,38000,1200,160,2 цилиндра/v-образное,6 передач,цепь,красный,1300000
Ducati,Ducati Monster 1200,2014,Москва,21000,1200,155,2 цилиндра/v-образное,6 передач,цепь,пурпурный,1130000
Ducati,Ducati Scrambler,2016,Москва,17480,800,73,,6 передач,цепь,красный,629100
Ducati,Ducati XDiavel,2022,Киров,10,1262,160,,,,чёрный,3650000
Ducati,Ducati HyperMotard,2021,Солнечногорск,20000,937,114,2 цилиндра/v-образное,6 передач,цепь,красный,1420000
Ducati,Ducati Monster 1100,2014,Симферополь,42000,1078,100,2 цилиндра/v-образное,6 передач,цепь,красный,700000
Ducati,Ducati Diavel,2013,Москва,14000,1198,154,,,,красный,1750000
Ducati,Ducati Scrambler,2021,Москва,2200,804,73,2 цилиндра/v-образное,6 передач,цепь,чёрный,1500000
Ducati,Ducati Diavel,2014,Новосибирск,4570,1198,162,2 цилиндра/v-образное,6 передач,цепь,чёрный,1400000
Ducati,Ducati Diavel Carbon,2011,Ставрополь,23000,1200,163,2 цилиндра,6 передач,цепь,красный,1050000
Ducati,Ducati 1299 Panigale,2015,Екатеринбург,5461,1285,205,2 цилиндра/v-образное,6 передач,цепь,красный,2030000
Ducati,Ducati Scrambler,2015,Хабаровск,6752,803,75,2 цилиндра/v-образное,6 передач,цепь,жёлтый,700000
Ducati,Ducati SuperSport,2019,Санкт-Петербург,13100,937,110,3 цилиндра,6 передач,,серый,1099000
Ducati,Ducati Scrambler,2015,Москва,5000,800,73,2 цилиндра/v-образное,6 передач,цепь,белый,2000000
Ducati,Ducati Monster 1100,2013,Санкт-Петербург,16700,1100,100,2 цилиндра/v-образное,6 передач,цепь,красный,759000
Ducati,Ducati Scrambler,2016,Владимир,12000,803,75,2 цилиндра,,цепь,чёрный,800000
Ducati,Ducati 749,2004,Мытищи,34000,748,103,2 цилиндра/v-образное,6 передач,цепь,красный,400000
Ducati,Ducati Streetfighter V4,2020,Красноярск,5408,1103,220,4 цилиндра/v-образное,6 передач,цепь,красный,2400000
Ducati,Ducati Monster 1100,2013,Санкт-Петербург,17000,1078,100,2 цилиндра/оппозитное,6 передач,цепь,зелёный,1199000
Ducati,Ducati ST,2002,Ростов,25000,944,83,2 цилиндра/v-образное,6 передач,цепь,серый,499000
Ducati,Ducati Multistrada 950,2017,Москва,29500,950,113,,6 передач,цепь,белый,950000
Ducati,Ducati Monster 696,2010,Москва,48512,696,80,2 цилиндра/v-образное,6 передач,цепь,красный,500000
Ducati,Ducati Monster 1100,2011,Москва,23366,1100,95,2 цилиндра/v-образное,6 передач,цепь,красный,700000
Ducati,Ducati HyperMotard,2019,Тюмень,21000,939,114,2 цилиндра/v-образное,6 передач,цепь,красный,1090000
Ducati,Ducati XDiavel,2021,Москва,5000,1262,160,2 цилиндра/v-образное,6 передач,ремень,чёрный,3080000
Ducati,Ducati Diavel,2014,Москва,20000,1200,155,2 цилиндра/v-образное,6 передач,цепь,чёрный,1750000
Ducati,Ducati Monster S4,2002,Москва,42309,916,101,2 цилиндра/v-образное,6 передач,цепь,красный,489000
Ducati,Ducati Monster (2021-н.в.),2021,Краснодар,1,937,,2 цилиндра,6 передач,цепь,чёрный,1550000
Ducati,Ducati Monster 696,2010,Москва,11142,696,80,2 цилиндра/v-образное,6 передач,цепь,красный,550000
Ducati,Ducati Panigale V2,2021,Москва,17000,955,160,2 цилиндра/v-образное,6 передач,цепь,красный,2400000
Ducati,Ducati Multistrada 1200,2016,Москва,45000,1200,152,2 цилиндра/v-образное,6 передач,цепь,белый,1300000
Ducati,Ducati Monster 696,2012,Владивосток,24000,696,80,2 цилиндра/v-образное,6 передач,цепь,красный,455000
Ducati,Ducati Monster S4,2001,Ногинск,27500,916,101,2 цилиндра/v-образное,6 передач,цепь,оранжевый,430000
Ducati,Ducati Monster 695,2006,Москва,40000,695,71,2 цилиндра/v-образное,5 передач,цепь,чёрный,340000
Ducati,Ducati Monster 1100,2010,Москва,46849,1100,90,,6 передач,цепь,серый,449100
Ducati,Ducati Monster 1100,2008,Москва,30257,1100,90,,6 передач,цепь,белый,503100
Ducati,Ducati Multistrada 1200,2015,Москва,6948,1200,150,2 цилиндра/v-образное,6 передач,цепь,красный,1600000
Ducati,Ducati Monster (2021-н.в.),2023,Белгород,1024,937,,,6 передач,,красный,2000000
Ducati,Ducati SuperSport,2020,Новосибирск,6000,950,110,4 цилиндра/v-образное,6 передач,цепь,белый,2000000
Ducati,Ducati Monster 797,2017,Екатеринбург,16500,803,74,,6 передач,,красный,629000
Ducati,Ducati Diavel,2021,Москва,9800,1262,162,2 цилиндра/v-образное,6 передач,цепь,чёрный,2350000
Ducati,Ducati Monster 1100,2010,Тамбов,40000,1100,90,2 цилиндра/v-образное,6 передач,цепь,красный,790000
Ducati,Ducati Multistrada 950,2019,Москва,10000,950,116,,6 передач,цепь,красный,1299000
Ducati,Ducati Multistrada 1260,2019,Рязань,16000,1260,162,2 цилиндра/v-образное,6 передач,цепь,красный,1800000
Ducati,Ducati Multistrada 1200,2014,Красногорск,25696,1200,105,,,цепь,красный,900000
Ducati,Ducati HyperStrada,2014,Иркутск,29924,821,110,2 цилиндра/v-образное,6 передач,цепь,красный,560000
Ducati,Ducati Diavel,2019,Москва,4947,1262,162,2 цилиндра/v-образное,6 передач,цепь,серебристый,2100000
Ducati,Ducati Monster 1200,2014,Москва,39141,1200,128,,6 передач,цепь,белый,805500
Ducati,Ducati Monster 821,2015,Москва,5100,821,112,2 цилиндра/рядное,6 передач,цепь,красный,870000
Ducati,Ducati Monster S4,2006,Москва,30500,998,117,2 цилиндра/v-образное,6 передач,цепь,красный,750000
Ducati,Ducati Scrambler,2015,Москва,20000,803,75,2 цилиндра/рядное,6 передач,цепь,жёлтый,670000
Ducati,Ducati Monster 600,2001,Великий Новгород,13774,600,51,2 цилиндра/v-образное,5 передач,цепь,чёрный,370000
Ducati,Ducati Monster 821,2015,Красногорск,11044,800,112,,6 передач,цепь,белый,855000
Ducati,Ducati Monster (2021-н.в.),2023,Белгород,1024,937,,,6 передач,,красный,2000000
Ducati,Ducati Diavel,2014,Оренбург,12818,1198,162,2 цилиндра/v-образное,6 передач,цепь,серый,1300000
Ducati,Ducati HyperMotard,2019,Москва,3747,950,114,2 цилиндра/v-образное,6 передач,цепь,красный,1400000
Ducati,Ducati Scrambler,2021,Москва,6500,803,73,2 цилиндра/v-образное,6 передач,цепь,серый,1440000
Ducati,Ducati HyperMotard,2016,Белгород,22000,939,130,2 цилиндра,6 передач,цепь,красный,900000
Ducati,Ducati XDiavel,2017,Одинцово,8700,1262,152,,6 передач,ремень,чёрный,2200000
Ducati,Ducati Monster 796,2010,Самара,21000,800,87,2 цилиндра/v-образное,6 передач,цепь,белый,680000
Ducati,Ducati SuperSport,2018,Мытищи,6500,937,113,2 цилиндра/v-образное,6 передач,цепь,белый,1263000
Ducati,Ducati Monster 696,2010,Москва,24100,700,154,2 цилиндра,6 передач,цепь,чёрный,990000
Ducati,Ducati Streetfighter,2013,Москва,19000,848,148,2 цилиндра,6 передач,цепь,жёлтый,999999
Ducati,Ducati Monster 1000,2002,Санкт-Петербург,19644,1000,86,2 цилиндра/v-образное,6 передач,цепь,серый,380000
Ducati,Ducati HyperMotard,2011,Санкт-Петербург,13000,1078,95,2 цилиндра/v-образное,6 передач,цепь,красный,635000
Ducati,Ducati Scrambler,2016,Москва,15600,803,73,,6 передач,цепь,зелёный,799990
Ducati,Ducati Multistrada 1200,2017,Москва,37000,1200,160,2 цилиндра/v-образное,6 передач,цепь,красный,1300000
Ducati,Ducati Monster 821,2015,Москва,47000,821,107,2 цилиндра/v-образное,6 передач,цепь,чёрный,676000
Ducati,Ducati XDiavel,2016,Красногорск,6500,1262,156,2 цилиндра/v-образное,6 передач,ремень,чёрный,1900000
Ducati,Ducati Scrambler,2016,Москва,29174,800,73,,6 передач,цепь,красный,629100
Ducati,Ducati Multistrada V4,2021,Москва,10534,1200,170,4 цилиндра/v-образное,6 передач,цепь,красный,3000000
Ducati,Ducati Multistrada 1000,2004,Санкт-Петербург,13789,1000,67,2 цилиндра/v-образное,6 передач,цепь,красный,470000
Ducati,Ducati Multistrada 950,2017,Санкт-Петербург,49500,937,115,2 цилиндра/v-образное,6 передач,цепь,красный,900000
Ducati,Ducati Monster 797,2020,Омск,8000,803,73,2 цилиндра,6 передач,цепь,красный,800000
Ducati,Ducati XDiavel,2022,Москва,5000,1260,152,2 цилиндра/v-образное,6 передач,ремень,чёрный,3350000
Ducati,Ducati Multistrada 620,2006,Краснодар,80000,620,65,2 цилиндра/v-образное,6 передач,цепь,чёрный,299900
Ducati,Ducati Multistrada 1200,2010,Санкт-Петербург,45912,1200,150,2 цилиндра/v-образное,6 передач,цепь,белый,600000
Ducati,Ducati Monster 1200,2015,Москва,18500,1200,135,2 цилиндра/v-образное,6 передач,цепь,чёрный,1000000
Ducati,Ducati Monster 750,2000,Москва,19420,748,64,2 цилиндра/v-образное,5 передач,цепь,чёрный,400000
Ducati,Ducati Monster 796,2012,Москва,13171,796,87,2 цилиндра/v-образное,6 передач,цепь,красный,620000
Ducati,Ducati Multistrada 950,2021,Красногорск,15945,940,113,,6 передач,цепь,красный,1365000
Ducati,Ducati Diavel,2020,Санкт-Петербург,8700,1260,150,2 цилиндра/v-образное,6 передач,цепь,чёрный,3450000
Ducati,Ducati Monster (2021-н.в.),2021,Санкт-Петербург,7000,937,114,2 цилиндра/v-образное,6 передач,цепь,серый,1755000
Ducati,Ducati Multistrada 1100,2007,Москва,14500,1100,95,2 цилиндра/v-образное,6 передач,цепь,красный,450000
Ducati,Ducati Monster 1100,2009,Москва,38815,1100,95,2 цилиндра/v-образное,6 передач,цепь,красный,615000
Ducati,Ducati Monster 750,2000,Москва,19420,748,64,2 цилиндра/v-образное,5 передач,цепь,чёрный,400000
Ducati,Ducati Monster S2R,2005,Москва,23000,803,76,2 цилиндра/v-образное,6 передач,цепь,красный,400000
Ducati,Ducati Monster 821,2016,Екатеринбург,11000,821,109,2 цилиндра/v-образное,6 передач,цепь,чёрный,760000
Ducati,Ducati Scrambler,2017,Москва,17500,800,73,2 цилиндра/v-образное,5 передач,цепь,чёрный,840000
Ducati,Ducati Monster 797,2017,Кировск,9300,803,73,2 цилиндра/v-образное,6 передач,цепь,красный,800000
Ducati,Ducati Panigale V4,2019,Владивосток,9900,1103,214,4 цилиндра/v-образное,6 передач,цепь,серый,2950000
Ducati,Ducati Multistrada V4,2021,Санкт-Петербург,19500,1200,170,4 цилиндра,6 передач,цепь,красный,2150000
Ducati,Ducati Monster 696,2010,Балашиха,33400,696,,,,,красный,480000
Ducati,Ducati Diavel Carbon,2011,Москва,8450,1200,160,2 цилиндра/v-образное,,цепь,красный,1050000
Ducati,Ducati 848,2010,Санкт-Петербург,24900,848,,2 цилиндра,,,красный,700000
Ducati,Ducati Monster 796,2014,Динская,6096,800,87,2 цилиндра/v-образное,6 передач,цепь,красный,690000
Ducati,Ducati Multistrada 1100,2007,Владивосток,36744,1100,,,,,красный,399000
Ducati,Ducati Multistrada 1200,2014,Казань,8832,1200,,,,,серебристый,1250000
Ducati,Ducati Monster 400,2005,Владивосток,6484,398,43,2 цилиндра/v-образное,5 передач,цепь,красный,285000
Ducati,Ducati 959 Panigale,2018,Киров,10000,959,150,2 цилиндра/v-образное,6 передач,цепь,белый,1700000
Ducati,Ducati Scrambler,2015,Москва,8149,803,73,2 цилиндра/v-образное,6 передач,цепь,жёлтый,679000
Ducati,Ducati Diavel Carbon,2013,Владивосток,28000,1200,,2 цилиндра/v-образное,6 передач,цепь,чёрный,810000
Ducati,Ducati HyperMotard,2008,Москва,14000,1100,110,2 цилиндра/v-образное,6 передач,цепь,красный,515000
Ducati,Ducati Monster S4,2006,Сергиев Посад,2026,998,121,2 цилиндра/v-образное,,,серый,1500000
Ducati,Ducati Multistrada 1260,2020,Москва,9000,1260,158,2 цилиндра/v-образное,6 передач,цепь,серый,2490000
Ducati,Ducati 848,2010,Санкт-Петербург,17653,848,140,2 цилиндра/v-образное,6 передач,цепь,серый,820000
Ducati,Ducati Multistrada V4,2023,Москва,1,1158,170,4 цилиндра/v-образное,6 передач,цепь,красный,3790000
Ducati,Ducati 1198,2009,Москва,12000,1198,185,2 цилиндра/v-образное,6 передач,цепь,красный,860000
Ducati,Ducati Scrambler,2015,Москва,5003,803,73,2 цилиндра/v-образное,6 передач,цепь,жёлтый,669000
Ducati,Ducati Diavel,2012,Москва,28000,1198,162,,6 передач,цепь,красный,1100000
Ducati,Ducati Scrambler,2015,Владивосток,22933,803,,,,,серый,645000
Ducati,Ducati Scrambler,2020,Москва,24961,803,,2 цилиндра/v-образное,6 передач,цепь,оранжевый,999296
Ducati,Ducati 1198,2009,Нахабино,17000,1198,163,2 цилиндра,,цепь,красный,950000
Ducati,Ducati Multistrada 1200,2013,Динская,46664,1200,150,2 цилиндра/v-образное,6 передач,цепь,серебристый,820000
Ducati,Ducati Monster 797,2018,Москва,19818,797,73,2 цилиндра/v-образное,6 передач,цепь,красный,719000
Ducati,Ducati Multistrada 1200,2014,Новосибирск,8800,1200,160,2 цилиндра/v-образное,6 передач,цепь,серебристый,1190000
Ducati,Ducati Monster 1200,2014,Санкт-Петербург,17000,1200,,2 цилиндра,6 передач,цепь,красный,1150000
Ducati,Ducati Panigale V2,2022,Москва,2305,955,155,,6 передач,цепь,красный,2700000
Ducati,Ducati Monster S4,2003,Владивосток,21048,916,101,2 цилиндра/v-образное,6 передач,цепь,серый,385000
Ducati,Ducati Monster S4,2004,Владивосток,1,996,113,2 цилиндра/v-образное,6 передач,цепь,чёрный,385000
Ducati,Ducati Monster S4,2006,Красногорск,26262,999,137,2 цилиндра/v-образное,6 передач,цепь,красный,790000
Ducati,Ducati Monster 696,2010,Владивосток,11645,696,80,2 цилиндра/v-образное,6 передач,цепь,чёрный,425000
Ducati,Ducati Scrambler,2015,Владивосток,46000,800,,2 цилиндра/v-образное,6 передач,цепь,жёлтый,510000
Ducati,Ducati Scrambler 1100,2018,Москва,5200,1100,87,2 цилиндра/v-образное,6 передач,цепь,серебристый,1050000
Ducati,Ducati Multistrada 1200,2010,Владивосток,45575,1198,150,2 цилиндра/v-образное,6 передач,цепь,красный,599000
Ducati,Ducati Multistrada 1200,2010,Уфа,76000,1200,150,2 цилиндра/v-образное,6 передач,цепь,красный,650000
Ducati,Ducati Monster 796,2013,Ростов-на-Дону,20000,803,83,2 цилиндра/v-образное,6 передач,цепь,красный,525000
Ducati,Ducati Panigale V4,2019,Смоленск,17000,1150,220,4 цилиндра/v-образное,6 передач,цепь,красный,1900000
Ducati,Ducati Monster 821,2018,Новосибирск,4651,821,112,2 цилиндра/v-образное,6 передач,цепь,красный,1100000
Ducati,Ducati Monster 696,2013,Москва,14220,696,74,2 цилиндра/v-образное,6 передач,цепь,красный,505000
Ducati,Ducati Scrambler,2015,Москва,19598,803,73,2 цилиндра/v-образное,6 передач,цепь,жёлтый,669000
Ducati,Ducati Multistrada 1200,2014,Самара,8832,1200,148,2 цилиндра/v-образное,6 передач,цепь,серебристый,1250000
Ducati,Ducati Multistrada 1200,2016,Подольск,53000,1200,152,2 цилиндра/v-образное,6 передач,,серый,1290000
Ducati,Ducati 1198,2009,Владивосток,17957,1198,170,2 цилиндра/v-образное,6 передач,цепь,белый,825000
Ducati,Ducati Monster (2021-н.в.),2021,Москва,8356,937,111,,6 передач,цепь,чёрный,1390000
Ducati,Ducati HyperMotard,2021,Красноярск,9500,950,115,2 цилиндра,6 передач,цепь,красный,1500000
Ducati,Ducati Monster 696,2008,Ярославль,9950,696,74,2 цилиндра/v-образное,6 передач,цепь,белый,590000
Ducati,Ducati Multistrada V4,2022,Новоивановское,1,1158,170,4 цилиндра/v-образное,6 передач,цепь,красный,3050000
Ducati,Ducati Monster 696,2013,Владивосток,18686,696,80,2 цилиндра/v-образное,6 передач,цепь,красный,425000
Ducati,Ducati Scrambler,2016,Владивосток,41660,399,41,2 цилиндра/v-образное,6 передач,цепь,красный,555000
Ducati,Ducati Monster 696,2008,Ярославль,9950,696,74,2 цилиндра/v-образное,6 передач,цепь,белый,590000
Ducati,Ducati Multistrada 1000,2005,Владивосток,12173,992,92,2 цилиндра/v-образное,6 передач,цепь,чёрный,385000
Ducati,Ducati Multistrada V4,2021,Оренбург,22000,1158,170,4 цилиндра/v-образное,6 передач,,красный,2130000
Ducati,Ducati SuperSport,2001,Владивосток,33683,904,84,2 цилиндра/v-образное,6 передач,цепь,красный,335000
Ducati,Ducati Scrambler,2022,Владивосток,5500,803,74,,,,жёлтый,1100000
Ducati,Ducati Multistrada 1000,2005,Королёв,30000,1000,92,2 цилиндра/v-образное,6 передач,цепь,чёрный,450000
Ducati,Ducati Multistrada 1260,2020,Москва,4528,1260,158,2 цилиндра/v-образное,6 передач,цепь,красный,2399000
Ducati,Ducati Scrambler,2019,Владивосток,10100,803,,,,,синий,1130000
Ducati,Ducati Streetfighter,2009,Москва,48000,1098,155,2 цилиндра/v-образное,6 передач,цепь,синий,850000
Ducati,Ducati Monster 821,2014,Москва,5461,821,,,,,красный,800000
Ducati,Ducati Monster 696,2012,Красногорск,22000,696,80,2 цилиндра/v-образное,6 передач,цепь,чёрный,570000
Ducati,Ducati Streetfighter,2013,Владивосток,19112,848,,,,,красный,720000
Ducati,Ducati Scrambler,2022,Москва,7500,800,73,2 цилиндра,6 передач,цепь,серый,1450000
Ducati,Ducati Multistrada 1000,2003,Серпухов,32000,1000,96,2 цилиндра/v-образное,6 передач,цепь,серебристый,290000
Ducati,Ducati Scrambler,2015,Москва,25010,803,,2 цилиндра/v-образное,6 передач,цепь,жёлтый,721047
Ducati,Ducati Monster 1200,2019,Москва,8080,1200,147,2 цилиндра/v-образное,,цепь,красный,1699000
Ducati,Ducati Monster 400,2002,Владивосток,9617,398,43,2 цилиндра/v-образное,5 передач,цепь,серебристый,265000
Ducati,Ducati Monster 696,2010,Москва,6873,696,80,2 цилиндра/v-образное,6 передач,цепь,красный,509000
Ducati,Ducati Monster 696,2009,Ялта,21113,696,80,2 цилиндра,6 передач,цепь,красный,495000
Ducati,Ducati Multistrada 1200,2014,Красноярск,8832,1198,147,2 цилиндра/v-образное,6 передач,цепь,серебристый,1250000
Ducati,Ducati Multistrada 1260,2020,Москва,9500,1260,156,2 цилиндра/v-образное,6 передач,цепь,красный,2000000
Ducati,Ducati SuperSport,2004,Владивосток,22198,748,64,2 цилиндра/v-образное,5 передач,цепь,жёлтый,349000
Ducati,Ducati Scrambler 1100,2019,Москва,3900,1100,,,,,жёлтый,998000
Ducati,Ducati Monster 1000,2007,Москва,10000,1000,,,,,красный,330000
Ducati,Ducati Monster 696,2013,Москва,44000,696,,2 цилиндра/v-образное,6 передач,цепь,красный,430000
Ducati,Ducati Multistrada 1000,2004,Владивосток,21819,992,92,2 цилиндра/v-образное,6 передач,цепь,красный,345000
Ducati,Ducati Multistrada 1200,2016,Санкт-Петербург,7936,1200,,2 цилиндра/v-образное,6 передач,цепь,белый,1251200
Ducati,Ducati Monster 1100,2013,Москва,12300,1100,100,2 цилиндра/v-образное,6 передач,цепь,красный,850000
Ducati,Ducati Scrambler,2021,Химки,12500,803,73,2 цилиндра/v-образное,6 передач,цепь,чёрный,1300000
Ducati,Ducati Monster 821,2019,Москва,4000,821,130,2 цилиндра/v-образное,6 передач,цепь,серый,1060000
Ducati,Ducati 999,2003,Владивосток,1,998,124,2 цилиндра/v-образное,6 передач,цепь,красный,365000
Ducati,Ducati Scrambler,2022,Владивосток,6000,803,,,,,красный,1100000
Ducati,Ducati Multistrada 1200,2012,Владивосток,35314,1198,150,2 цилиндра/v-образное,6 передач,цепь,серый,660000
Ducati,Ducati Monster 1200,2014,Москва,24464,1200,,2 цилиндра/v-образное,6 передач,цепь,красный,754400
Ducati,Ducati Multistrada 1260,2020,Москва,4528,1260,158,2 цилиндра/v-образное,6 передач,цепь,красный,2399000
Ducati,Ducati Scrambler,2016,Москва,7100,803,,,6 передач,цепь,красный,745000
Ducati,Ducati Multistrada 1100,2006,Москва,37470,1100,,,6 передач,цепь,красный,460000
Ducati,Ducati Monster 696,2009,Москва,30593,696,80,2 цилиндра/v-образное,6 передач,цепь,красный,450000
Ducati,Ducati Diavel Carbon,2011,Владивосток,29000,1200,,2 цилиндра/v-образное,6 передач,цепь,чёрный,810000
Ducati,Ducati Monster 696,2013,Москва,26711,696,79,2 цилиндра/v-образное,6 передач,цепь,белый,559000
Ducati,Ducati Scrambler,2023,Москва,1000,803,73,2 цилиндра/v-образное,6 передач,цепь,красный,1850000
Ducati,Ducati 848,2012,Пушкино,28823,848,140,2 цилиндра,6 передач,цепь,красный,760000
Ducati,Ducati ST,2002,Владивосток,12475,996,105,2 цилиндра/v-образное,6 передач,цепь,красный,365000
Ducati,Ducati ST,2002,Владивосток,32894,996,105,2 цилиндра/v-образное,6 передач,цепь,жёлтый,345000
Ducati,Ducati Scrambler 1100,2019,Москва,5565,1079,86,,6 передач,цепь,чёрный,1190000
Ducati,Ducati HyperMotard,2017,Балашиха,20000,939,138,2 цилиндра/v-образное,6 передач,цепь,красный,1149000
Ducati,Ducati Multistrada V4,2021,Москва,24500,1200,170,4 цилиндра/v-образное,6 передач,цепь,красный,2100000
Ducati,Ducati Monster 696,2014,Краснодар,18860,696,80,2 цилиндра/v-образное,6 передач,цепь,чёрный,690000
Ducati,Ducati Scrambler,2016,Москва,10450,803,,2 цилиндра,,цепь,зелёный,685000
Ducati,Ducati Monster S4,2001,Москва,27946,904,73,2 цилиндра/v-образное,,цепь,синий,520000
Ducati,Ducati Scrambler,2022,Егорьевск,7200,803,72,2 цилиндра,6 передач,цепь,чёрный,850000
Ducati,Ducati Monster (2021-н.в.),2021,Зеленоград,12850,937,111,,6 передач,цепь,чёрный,1670000
Ducati,Ducati SuperSport,2005,Москва,46000,1000,96,2 цилиндра/v-образное,6 передач,цепь,серый,400000
Ducati,Ducati Diavel,2012,Королёв,23500,1200,162,4 цилиндра/v-образное,6 передач,цепь,чёрный,820000
Ducati,Ducati Monster 696,2014,Санкт-Петербург,10900,696,75,,,цепь,чёрный,550000
Ducati,Ducati Scrambler,2018,Екатеринбург,13000,803,120,4 цилиндра/v-образное,6 передач,цепь,чёрный,900000
Ducati,Ducati 848,2009,Нижний Новгород,14000,850,138,2 цилиндра/v-образное,6 передач,цепь,красный,600000
Ducati,Ducati Diavel,2021,Москва,10000,1260,162,2 цилиндра/v-образное,,цепь,чёрный,2347000
Ducati,Ducati 1199 Panigale,2012,Москва,26000,1098,198,2 цилиндра/v-образное,6 передач,цепь,красный,1500000
Ducati,Ducati Panigale V4,2022,Мытищи,15,1103,215,,,,чёрный,4200000
Ducati,Ducati HyperMotard,2014,Адлер,30000,821,110,,,,красный,830000
Ducati,Ducati Monster S2R,2005,Истра,39000,1000,95,2 цилиндра/v-образное,,цепь,красный,500000
Ducati,Ducati Multistrada 1200,2011,Одинцово,14000,1200,150,,,,красный,950000
Ducati,Ducati HyperMotard,2019,Москва,4309,950,118,2 цилиндра/v-образное,,цепь,серый,1549900
Ducati,Ducati XDiavel,2020,Москва,1703,1300,165,2 цилиндра,6 передач,ремень,чёрный,2350000
Ducati,Ducati Multistrada 1000,2006,Красноярск,1300,992,90,2 цилиндра,6 передач,цепь,красный,590000
