Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб)
Kawasaki,Kawasaki Z 900,2021,Москва,18063,948,125,,6 передач,цепь,чёрный,999000
Kawasaki,Kawasaki Z 900,2020,Москва,1559,948,125,,6 передач,цепь,чёрный,1099000
Kawasaki,Kawasaki GTR 1400 (Concours 14),2008,Москва,65203,1400,155,,6 передач,кардан,серый,699000
Kawasaki,Kawasaki Z 1000SX,2023,Москва,796,1043,142,,6 передач,цепь,чёрный,1709100
Kawasaki,Kawasaki Ninja 400,2013,Москва,7276,400,44,,6 передач,цепь,чёрный,447300
Kawasaki,Kawasaki GTR 1400 (Concours 14),2008,Москва,45961,1400,155,,6 передач,кардан,серый,629100
Kawasaki,Kawasaki Z 1000SX,2021,Москва,9714,1043,142,,6 передач,цепь,чёрный,1499000
Kawasaki,Kawasaki Ninja 400,2015,Москва,22185,400,44,,6 передач,цепь,зелёный,501300
Kawasaki,Kawasaki Z 650RS,2023,Москва,1007,650,68,,6 передач,цепь,зелёный,1079100
Kawasaki,Kawasaki Z 1000SX,2022,Москва,9591,1043,142,,6 передач,цепь,чёрный,1499000
Kawasaki,Kawasaki Z 650,2020,Москва,2904,650,68,,6 передач,цепь,чёрный,719100
Kawasaki,Kawasaki W 800,2020,Москва,42340,800,48,,5 передач,цепь,зелёный,809100
Kawasaki,Kawasaki Z 650,2017,Москва,8717,650,68,,6 передач,цепь,белый,692100
Kawasaki,Kawasaki Ninja 400,2015,Москва,20472,400,44,,6 передач,цепь,чёрный,404100
Kawasaki,Kawasaki Z 1000SX,2023,Москва,148,1043,142,,6 передач,цепь,чёрный,1689300
Kawasaki,Kawasaki ER-6f (Ninja 650R),2017,Москва,28069,650,72,,6 передач,цепь,чёрный,699000
Kawasaki,Kawasaki ER-6f (Ninja 650R),2018,Москва,45087,650,72,,6 передач,цепь,чёрный,609300
Kawasaki,Kawasaki Ninja 400,2015,Москва,11627,400,44,,6 передач,цепь,чёрный,431100
Kawasaki,Kawasaki Z 1000SX,2021,Москва,9714,1043,142,,6 передач,цепь,чёрный,1499000
Kawasaki,Kawasaki Z 650,2018,Москва,21225,650,68,,6 передач,цепь,чёрный,719100
Kawasaki,Kawasaki Ninja 400,2014,Москва,10142,400,44,,6 передач,цепь,зелёный,429300
